year,percentPred,percReal,absPred,absReal,Total Mex Imports (Corn)
1961,,0,,0,31022
1962,0.099162256,0.507462213,-1665533.731,31962,94946
1963,0.151713343,1.362216405,-1217488.337,269050,466559
1964,0.190885918,-0.776661297,-851026.488,-121851.75,35040
1965,0.447502743,-0.912900251,-425611.8924,-116612.6,11126
1966,0.492280498,-0.958151619,-145230.4434,-102710.5,4486
1967,0.178670765,-0.946881408,-135760.7773,-87667.28571,4918
1968,0.250419827,-0.932692367,28253.51165,-76200.5,5499
1969,0.211408918,-0.885236195,115545.0283,-65117.77778,8442
1970,0.20413844,4.347390155,164084.9985,618607.1,760901
1971,0.070887998,-0.868412483,102336.4198,-113696.2727,17228
1972,0.879005951,0.447045332,581543.8291,61008.5,197479
1973,1.974852779,4.345184071,1375487.593,929594.3077,1143531
1974,1.816834796,3.408338258,1283179.697,988274.2143,1278232
1975,1.761678029,4.906349994,1152112.279,2190196.6,2636597
1976,2.358166027,0.918771721,1643078.74,436900.875,912428
1977,2.134237218,2.185994626,1382133.637,1203995.176,1754772
1978,2.356305065,1.370009039,1429546.206,820709.1667,1419763
1979,2.783538779,0.231587064,1856702.136,140541.3158,747403
1980,2.852011633,3.935149741,2076229.823,3011894.55,3777277
1981,2.179720235,2.342450485,1592027.776,2148259.7,3065359
1982,1.502702536,-0.601945065,1019055.609,-560338.05,370541
1983,1.170299322,3.107248232,831346.3223,3548770.65,4690865
1984,1.065206126,0.97419353,983912.1533,1232581.9,2497815
1985,0.789994952,0.277411868,871894.6859,374773.35,1725737
1986,0.038388141,0.186405816,-90652.81177,267663.55,1703582
1987,0.253727919,1.229767423,513636.9785,1987079.6,3602897
1988,0.591182809,0.854299752,1532896.407,1521195.1,3301829
1989,0.906057661,0.859310983,2518206.209,1686546.25,3649219
1990,0.801664696,0.927093785,2553580.323,1974569.4,4104418
1991,0.441757136,-0.353791735,1772196.23,-778367.45,1421705
1992,0.272101241,-0.421112649,1314120.419,-949812,1305670
1993,0.165144311,-0.904635816,1001744.418,-1998193.65,210644
1994,0.004189026,0.203474366,550015.2929,464381,2746639
1995,0.624048704,0.176011616,1816547.446,402146.8,2686921
1996,0.668257951,1.308210165,2045268.519,3311459.7,5842750
1997,0.291169833,-0.019705352,1150098.388,-50632.8,2518862
1998,0.206954583,0.888972266,912615.5197,2452763.2,5211863
1999,0.520197912,0.849207618,1657447.381,2546790.8,5545811
2000,0.560095524,0.737629305,1891692.435,2270081.7,5347619
2001,0.549641625,0.909707349,1944721.626,2941057.25,6174028
2002,0.564262111,0.579590264,2076347.196,2022821.75,5512911
2003,0.459595253,0.626566036,1960961.476,2220395.55,5764149
2004,0.585551807,0.493638135,2310583.857,1823892.8,5518690
2005,0.563798858,0.474365705,2430722.575,1847983.75,5743678
2006,0.852399463,0.815776172,3246143.365,3418927.85,7609940
2007,0.942339475,0.804364704,3758222.073,3546125.25,7954729
2008,0.846597621,0.945618689,3809109.631,4445175.35,9145987
2009,0.665852402,0.487410639,3668507.222,2379237.35,7260619
2010,0.706445058,0.548550193,3865509.33,2780387.35,7848998
2011,0.614976839,0.731967211,3658832.631,4004837.05,9476171
2012,0.184142429,0.617713504,2657820.52,3633269.85,9515074
2013,-0.150650964,0.1483578,1925433.601,924109.4,7153033
2014,0.501058074,0.573971866,3489853.977,3795068.8,10407011
2015,0.680889574,0.714260965,4307689.998,5060439.8,12145301
2016,0.970595125,0.881294647,5202927.366,6607967.75,14105991
2017,1.013869191,0.884590863,5725976.206,7199699.1,15338715
2018,1.418739358,0.957495992,7173096.98,8361985.9,17095167
2019,0.837101787,0.78020683,6609287.547,7241952.2,16524045
2020,0.832574237,0.625833762,7257867.363,6140916.5,15953293