mex_cpi,year,jap_cpi
44.30352583,2000,91.543715
46.54675167,2001,90.96524167
48.29358333,2002,89.953845
50.96648917,2003,89.8153375
54.64464583,2004,90.82913417
57.57696917,2005,89.64082917
59.68271833,2006,90.13061167
63.634255,2007,90.49856583
68.82034333,2008,93.15840417
74.8892625,2009,93.20231917
77.365375,2010,92.96769
80.73835167,2011,92.59031333
87.29627667,2012,92.78598417
91.81143917,2013,92.61006083
96.163875,2014,96.57162167
99.99999583,2015,100
104.4696667,2016,102.0893583
111.7470333,2017,102.79415
117.1061417,2018,104.4741583
122.2450083,2019,104.6661167
130.3394583,2020,105.965425
139.7643917,2021,105.9201833
152.9267833,2022,108.9972723